"(-3.369381, 29.14578)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,14.8954664339549,True
"(-3.369197, 29.358427)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.9324993951882786,True
"(-3.366982, 29.126671)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,16.22276896090997,True
"(-3.3561339999999995, 29.358777000000003)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,1.8186969815272631,True
"(-3.346052, 29.392164)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.2974139113290657,True
"(-3.3452660000000005, 29.392097)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.3356456188798873,True
"(-3.345114, 29.483216)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.814987524946666,True
"(-3.344792, 29.391811)",10,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.3481466640690893,True
"(-3.344121, 29.392239)",5,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.4025496348649353,True
"(-3.343752, 29.391237)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.379192820138776,True
"(-3.343596, 29.388054)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.257245452032103,True
"(-3.342568, 29.392704)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.505799354460334,True
"(-3.34202, 29.484309000000003)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.950987294741422,True
"(-3.340822, 29.308681)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,4.615486930366701,True
"(-3.340352, 29.311337)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,4.493845416612321,True
"(-3.337187, 29.340365)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,3.4269067128265163,True
"(-3.335886, 29.257694)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,7.825881314733362,True
"(-3.33342, 29.253940000000004)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.131899507737891,True
"(-3.333333, 29.25)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.38263718954475,True
"(-3.3332040000000003, 29.249419)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.422930969622557,True
"(-3.3311230000000003, 29.250565)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.409558015005118,True
"(-3.285931, 29.323806)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,7.117504827573179,True
"(-3.279979, 29.160429)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,15.544923047174962,True
"(-3.279806, 29.546562)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,14.622177637778,True
"(-3.267509, 29.616137)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.302706295026866,True
"(-3.262778, 29.903158)",1,Gitega,"(-3.4264, 29.9306)",41944.0,11.401055233197745,True
"(-3.262719, 29.62234)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.828676503799677,True
"(-3.262518, 29.62477)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.98715899642554,True
"(-3.26044, 29.14993)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,16.822128053050744,True
"(-3.253245, 29.430266)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,10.084001632638431,True
"(-3.232292, 29.165224)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,17.014225650572506,True
"(-3.227111, 29.950926000000006)",1,Gitega,"(-3.4264, 29.9306)",41944.0,13.764896169956101,True
"(-3.213745, 29.470245)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.829572433939061,True
"(-3.195192, 29.307218)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.397029908280476,True
"(-3.193543, 29.306158)",3,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.526262352831495,True
"(-3.193506, 29.307692)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.499375976439236,True
"(-3.193233, 29.306142)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.547018250360885,True
"(-3.192068, 29.305763)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.631193013832188,True
"(-3.191687, 29.305891)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.653852964741427,True
"(-3.161429, 29.37292)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,15.211687087888357,True
"(-3.136742, 29.365023)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,16.888181127837317,True
"(-3.124426, 29.258021000000006)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.10777564988306,True
"(-3.095278, 29.381667)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.786035213250813,True
"(-1.950106, 30.058769)",6,Kigali,"(-1.9536, 30.0606)",745261.0,0.2713936200788098,True
"(-1.949011, 30.057852)",9,Kigali,"(-1.9536, 30.0606)",745261.0,0.36811047342756326,True
"(-1.947981, 30.05751)",1,Kigali,"(-1.9536, 30.0606)",745261.0,0.441229448421102,True
"(-1.7878150000000002, 30.003469)",1,Kigali,"(-1.9536, 30.0606)",745261.0,12.056159089570835,True
"(-1.393804, 36.746547)",1,Nairobi,"(-1.2864, 36.8172)",5545000.0,8.850325041241748,True
"(-1.355633, 36.66693400000001)",1,Nairobi,"(-1.2864, 36.8172)",5545000.0,11.42830286782602,True
"(-1.3306129999999998, 36.925048)",1,Nairobi,"(-1.2864, 36.8172)",5545000.0,8.05293726945615,True
"(-1.314712, 36.813752)",1,Nairobi,"(-1.2864, 36.8172)",5545000.0,1.9598204425460095,True
